id,start,end,text,label
6d033f90c73847caa32fec599e9bbb39,5770,6521,Where under any law other than this Code the function exercisable by a Magistrate relate to matters a which involve the appreciation or sifting of evidence or the formulation of any decision which exposes any person to any punishment or penalty or detention in custody pending investigation inquiry or trial or would have the effect of sending him for trial before any Court they shall subject to the provisions of this Code be exercisable by a Judicial Magistrate or b which are administrative or executive in nature such as the granting of a license the suspension or cancellation of a license sanctioning a prosecution or withdrawing from a prosecution they shall subject as aforesaid be exercisable by an Executive Magistrate ,STA
57e1d51130f146a0ab3bc3007c73e102,6522,6530,6 ,ANALYSIS
8c1100c670224713a494e20bd575bbfa,6530,6833,There can be no doubt as to the fact that the proceedings of the above nature are not adjudicatory so as to involve appreciation or sifting of evidence or formulating any decision which might expose any person to any punishment or penalty or detention in custody or to put him on trial before any court ,ANALYSIS
c36b5824dca04684acbf457c62a8a57b,6834,6971,The preparation of an inventory at the time of seizure is a step in investigation by the customs authorities under the Customs Act 1962 ,ANALYSIS
65478f20d64048d8b68b5fa3ea1e2d5b,6972,7399,The objective of the proceedings envisaged in sub Section 1B and sub Section 1C of Section 110 is to have reconfirmation of the correctness of such inventory and if possible to de burden the investigating agency of the responsibility of retaining the entire goods thus seized and instead to preserve only what is absolutely necessary which may be in the form of photographs of the goods or their representative samples ,ANALYSIS
cd09033ec8c34a85aae838d0ba98eadd,7400,7547,This is clear inter alia from the further provisions contained in other clauses of Section 110 as also by Section 110 A of the Customs Act 1962 ,ANALYSIS
e56596400b8a4970b88b1026b1a139c4,7547,8421, 7 In above view of the matter the exercise of certification of the correctness of the inventory or taking of photographs of the seized goods or drawing representative samples can be nothing but an exercise which is administrative or executive in nature within the meaning of clause b of sub Section 4 of Section 3 Cr P C Therefore the word Magistrate appearing in Section 110 IB and 1C of the Customs Act 1962 must be interpreted so as to be read as a reference to an Executive Magistrate and not to a Judicial Magistrate or a Metropolitan Magistrate 8 A view to above effect taken by Gujarat High Court in Assistant Collector of Customs vs Surender Praggar Gosain Anr 1988 1 GLR 421 was adopted by a learned Single Judge of this court in Crl M C No 526 2013 titled Directorate of Revenue Intelligence vs State decided on 21 02 2013 ,PRE_RELIED
01384aecd03b41dcbee17b7f9091f67e,8421,8781, A contrary view taken by another learned Single Judge of this court in Crl Misc Main No 2484 1998 titled Department of Customs vs Parvinder Kaur decided on 24 08 2000 was apparently per incuriam and does not commend to be the correct approach for the reason the matter was not examined there in light of provision contained in Section 3 4 Cr P C ,PRE_RELIED
c62ef03212e347a1b591c84ec7141f77,8791,8883,For the foregoing reasons the petition is devoid of substance and is accordingly dismissed ,RPC
72087398ce46486ea2b7e8e38ae626d6,8883,8914, R K GAUBA J MAY 15 2017 vk,NONE
344c7345f37c49e69665bd89f5dec5ac,0,133,PETITIONER SALES TAX OFFICER SPECIAL CIRCLE ERNAKULAM ANR Vs RESPONDENT TATA OIL MILLS CO LTD DATE OF JUDGMENT29 07 1975,PREAMBLE
367708b707224098adf28c24367297a5,133,637, BENCH KHANNA HANS RAJ BENCH KHANNA HANS RAJ BEG M HAMEEDULLAH GUPTA A C CITATION 1976 SCR 1 152 1975 AIR 1991 1975 SCC 2 304 ACT Kerala Genera Sales Tax Act 15 of 1963 s 22 3 and Kerala General Sales Tax Rules 1963 9 1 Constitution of India 1950 VII Schedule List II Entry 54 Section providing for payment to Govt of tax wrongly collected if ultra vires HEADNOTE According to r 9 1 of the Kerala General Sales tax Rules framed under ,PREAMBLE
5e647f65d9b245759ba935b75a160f25,638,881,the Kerala General Sales tax Act 1963 in determining the taxable turnover of a dealer the excise duty if any paid by the dealer to the Government of Kerala or to the Central Government in respect of the goods sold by him shall be deducted ,PREAMBLE
91ecf9db1b794d6ab511121a2baacae9,882,917,Section 22 3 of the Act provides ,PREAMBLE
30a3440f42d341a9928b2fd8cfa6ded4,917,1088,that if any dealer or person collects tax on transactions not liable to tax under the Act or in excess of the tax leviable under the Act such dealer or person shall pay to,PREAMBLE
5f30f53a699045bb9dd8c723fb238bc0,1088,1103, the Government,PREAMBLE
6f53f5ca8ff545c7a48463162d6c6d1b,1103,1225, in addition to the tax payable the amount so collected unless it was refunded to the person from whom it was collected ,PREAMBLE
5f8301cbcda8467dbde80732007e3207,1225,1370, The respondent deducted the sum paid by it as excise duty from its total turnover for the purpose of determining the taxable turnover ,PREAMBLE
ef2352888a124adc9d9efcc0590d4e3c,1371,1419,The respondent however when it sold the goods ,PREAMBLE
074afe356da3410686edfcc7b1af5c43,1420,1565,had collected sales tax from the purchasers on the invoice prices without deducting therefrom the excise duty paid in respect of the said goods ,PREAMBLE
0d787e9bd1b84c8085356cde15ecd411,1566,1684,This resulted in the respondent realising a sum in excess of the sales tax payable in respect of the goods sold by it ,PREAMBLE
b9de4ff7f66a4074af6a6bd67ebfd0a5,1685,1795,The Sales tax officer held that the respondent was liable to pay that amount to the Government under s 22 3 ,PREAMBLE
8c5c2387759a44f49785f3b90b6bf7a0,1796,2041,The writ petition filed by the respondent was allowed by the High Court on the ground that s 22 3 was not covered by Entry 54 of the State List in the VII Schedule to the Constitution and hence beyond the competence of the Slate Legislature ,PREAMBLE
3913b4350c3643d1baed2c75436be683,2041,2088, Dismissing the appeal to this Court ,PREAMBLE
c100941fbfd0425aa00f57c8db4b720c,2088,2244, HELD 1 Entry 54 empowers the State Legislatures to make laws except in certain cases in respect of taxes on the sale or purchase of goods ,PREAMBLE
a4f50127202747bc8291f97d8d541e6d,2245,2313,As long as the law relates to taxes on the sale or purchase of goods,PREAMBLE
6aca2dfc8a3642c79e2152e425501e44,2313,2364, it would be within their legislative competence ,PREAMBLE
675e1bb26dcc49f7b51c3778ef80ae6b,2365,2403,But it would not be permissible for ,PREAMBLE
eac72bd975a54a06a6f1c91d5f34fbdb,2404,2667,the State legislature to enact a law under Entry 54 for recovery by the State of an amount which could not be recovered as sales tax or purchase tax in accordance with the law on the subject and which was wrongly realised by a dealer as sales tax or purchase tax ,PREAMBLE
c37ebd8cf7f94851830af0154d4dfd66,2668,2846,Such a l would not be a law relating to tax of the sale or purchase of goods but would be one in respect of an amount wrongly realised by a dealer as sales tax or purchase tax ,PREAMBLE
c109fa85767c4769b4f0a8e9f19a71ac,2847,2855, 1 55A C,PREAMBLE
286c62fd2baf48728f432d38c9e2106d,2855,2987, 2 The ambit of ancillary or incidental power would not go to the extent of permitting the Legislature to provide that ,PREAMBLE
e968bc692ef54bfb87cfbdd14dce9fd7,2988,3128,though the amount collected may be wrongly be way of tax was not tax it shall still be paid over to the Government as if it were a tax ,PREAMBLE
a1162d3a3e044e5baddf5285bf4b9c99,3129,3304, 156D E 3 The fact that the amount realised is in excess of the tax leviable and not as amount which was not at all payable as tax would not make any difference ,PREAMBLE
a20f6e538f28416884caca6c40a70195,3305,3366,Any amount realised by a dealer in excess of the tax leviable,PREAMBLE
cac8db36e02a490a957c3776528c7f17,3366,3512, stands for the purpose of determining the legislative competence under Entry 54 on the same footing as an amount not due as tax under the Act ,PREAMBLE
9d1a307c341e46cd84a4f774efb67649,3513,3586,Tax according to s 2 xxiv of the Act means tax payable under the Act ,PREAMBLE
f1962e06c58a4868a89d47a3ab8a4e58,3587,3710,This necessarily means that everything outside it collected by the dealer would be an exaction not authorised by the Act ,PREAMBLE
eb75bdcdafdb482a9eaa7ce30cc80dda,3711,4205,The amount which was realised by the respondent in excess of what was due as tax cannot be held to be tax because such excess amount was not tax payable under the Act If the State Legislature cannot make a law under Entry 54 directing payment to the State of any amount collected as tax on transactions not liable to lax under the Act it would likewise be incompetent to make a law directing payment to the State of an amount realised by a dealer in excess of the tax payable under the Act ,PREAMBLE
d17ffd3c0879409baa362f843e60d3d6,4206,4282, 157G 158C R Abdul Quader co v Sales Tax Officer Hyderabad ,PREAMBLE
ebb0437be5404fc1b8ce5269b6541f08,4282,4342, 1964 SCR 867 and Ashoka Marketing Ltd v State of Bihar ,PREAMBLE
44f43993f4b940b0839e6ff80ea484d3,4343,4372,Anr 1970 SCR 455 followed ,PREAMBLE
1e82c4dc9d7c44c69c18b904b4bb6dd5,4374,4383,JUDGMENT ,PREAMBLE
c7a5308acd654841a7fca991fdd88a65,4383,4399, CIVIL ,NONE
ce94959760e24287ad1a6491fc4ea4a3,4400,4461,APPELLATE JURISDICTION Civil Appeal Nos 1988 1989 of 1970 ,NONE
6da84b13dc42475e953e2c67e01b423d,4471,4584,From the Judgment and order dated the 29th day of October 1968 of the Kerala High Court in W P No 156 of 1967 ,NONE
c63fba1592b6451f9fc8361d805b1289,4584,4826, V A Seiyed Muhamad and K M K Nair for the appellant In C A No 1988 70 K M K Nair for the appellant In C A No 1989 70 G B Pai A G Meneses for the respondent The Judgment of the Court was delivered by KHANNA ,NONE
38dae26bf1b34a8a859f17394e9ffe9f,4827,5366,J This judgment would dispose of civil appeals No 1989 and 1989 of 1970 Filed on certificate against the judgment of the Kerala High Court whereby that court held that it was beyond the competence of the State Legislature to enact law contained in sub section 3 of section 22 of the Kerala General Sales Tax Act 1963 Act 15 of 1963 hereinafter referred to as the Act in so far as it related to payment of an amount collected as tax on transactions not liable to tax under the Act or in excess of the tax leviable under the Act ,RLC
86b3d4a591754c72919f604828f7b45d,5366,5439, We may now set out the facts giving rise to one of the appeals ,FAC
4f2039a7df474764850529b612b2122d,5440,5537,Both the learned counsel are agreed that the decision in that would also govern the other appeal ,FAC
1e049d80878c48c186debdf4cc9346fd,5537,5627, Under section 5 of the Act tax is payable by a dealer on his tax able turnover ,FAC
f36f3837b05643baa2cc5adde7f3e798,5628,5877, Taxable turnover is defined in section 2 xxv of the Act as the turnover on which a dealer is liable to pay tax as determined after making such deductions from his total turnover and in such manner as may be prescribed by the rules under the Act ,FAC
30b881f4115942cc91e0980cd78ee3af,5878,6034,It does not however include the turnover of purchase or sale in the course of inter State trade or commerce or in the course of export or import of goods ,FAC
922f941be892482db62659bd24e4931a,6035,6172,The Kerala General Sales Tax Rules have been framed be the State Government in exercise of the powers conferred by section 57 of the Act ,FAC
71ceb25db25e4d39be06a30843c27a67,6173,6475,According to clause i of rule 9 of the sail rules in determining the taxable turnover the following amount shall be deducted from the total turnover of the dealer the excise duty if any paid by the dealer to the Government of Kerala or the Central Government in respect of the goods sold by him ,FAC
6563cbe7a5fd43c1b6b7015870535987,6476,6621,It may be stated that clause i was omitted subsequently but we are concerned with the period when that clause was an integral part of the rule ,FAC
2a7e2eb9f1734a9794fa9b3113f5e18f,6621,6735, The respondent is an incorporated company engaged in the manufacture and sale of soaps toilets and other goods ,FAC
49bef46e041446789f20d781bbf2464d,6736,6943,The respondent s accounts disclosed that it had collected from the persons to whom it sold goods a sum of Rs 30 591 71 as sales tax in excess of the tax which the respondent was liable to pay under the Act ,FAC
41e3a179326d4e58ae348b203a7b5968,6944,7108,The respondent it would appear paid Rs 6 62 958 as excise duty and deducted the same from its total turnover for the purpose of determining the taxable turnover ,FAC
895f494494d240f9b637197e179d9a18,7109,7304,When however the respondent company sold thegoods it collected sales tax from the purchasers on the invoice price without deducting there from the excise duty paid in respect of the said goods ,FAC
75883d07c462457d8f8f2a2574d9e13e,7305,7439,This resulted in the respondent company realising Rs 30 591 71 in excess of the sales tax payable in respect of the goods sold by it ,FAC
3babffe582fb468c822fc45fa62b589c,7440,7592,The sales tax officer held that the respondent was liable to pay the aforesaid amount of Rs 30 591 71 to the Government under section 22 3 of the Act ,FAC
cd67aef8042f40468890713f833429b4,7593,7952,The respondent then filed writ petition in the Kerala High Court to challenge its liability to pay the aforesaid amount on the ground that the provisions of section 22 in so far as they imposed a liability on a dealer to pay over to the Government any amount collected by him as sales tax even though that amount was not payable as tax was unconstitutional ,FAC
1e81921d0f6349399ee7dc86389ace78,7953,8025,The learned single Judge dismissed the petition filed by the respondent ,RLC
736a3e3a17c14189b09ba1f82f05c4e7,8026,8192,On appeal however the Division Bench held as already mentioned earlier that the impugned provision was beyond the legislative competence of the State Legislature ,RLC
709a2f1a0b1e423c863b5618862839b2,8192,8723, Sub section 3 of section 22 of the Act reads as under 3 If any dealer or person collects tax on transactions not liable to tax under this Act or in excess of the tax leviable to under this Act such dealer or person shall unless it is established to the satisfaction of the assessing authority that the tax so collected has been refunded to the person who had originally paid tax pay over to the Government in addition to the tax payable the amount so collected within such time and in such manner as may be prescribed ,STA
b10011c444984428984dcc8339549cf6,8723,8792, The learned Judges of the High Court in holding the above provision ,ANALYSIS
07ed11f79f9c40a8875b99a0b3ec46e8,8793,9161,in so far as it related to payment of an amount collected as tax on transactions not liable to tax under the Act or in excess of the tax leviable under the Act to he beyond the legislative competence of the State Legislature referred to entry 54 of the State List in the Seventh Schedule to the Constitution upon which reliance had been placed on behalf of the State ,ANALYSIS
e04fe8abb92e4b17bd0b37d87e4a1ae9,9162,9326,It was held that the State Legislature was incompetent to enact the impugned provisions contained in sub section 3 of section 22 of the Act under the above entry ,RLC
f318e3816bff438aaee46ccdbda6c9de,9326,9462, In appeal before us Dr Seiyed Muhammad on behalf of the appellants has assailed the judgment of the Division Bench of the High Court ,FAC
9aa4a90b2f90408fb3ae0195ca299181,9463,9571,As against that Mr Pai on behalf of the respondent has canvassed for the correctness of the said judgment ,ARG_RESPONDENT
103021922ced4a8da2ea8db7f92fc119,9572,9673,After hearing the learned counsel we are of the opinion that there is no merit in these two appeals ,ANALYSIS
cc2a1370def943aebad05df5f8a388ca,9673,9914, A State Legislature is competent to make a law under entry 54 of List II in Seventh Schedule to the Constitution in respect of taxes on the sale or purchase of goods other than newspapers subject to the provisions of entry 92A of List I ,STA
7d642ffb4889404f932066e54c0cef56,9915,10306,Entry 92A of List I relates to taxes on the sale or purchase of goods other than newspapers where such sale or purchase takes place in the course of inter State trade or commerce and we are not concerned with this entry Entry 54 enpowers State Legislatures to make law except i certain cases with which we are not concerned in respect of taxes on the sale or purchase of goods ,ANALYSIS
f2f5fa9796dd404f9d7036059133c402,10307,10456,As long as the law relates to taxes on the sale or purchase of goods it would be within the competence of the State Legislature to enact such a law ,ANALYSIS
afd7e237373e4553a7e8a29533fbb407,10457,10761,It would not however b permissible for the State Legislature to enact a law under entry 54 for recovery by the State of an amount which could not be recovered as sales tax or purchase tax in accordance with the law on the subject and which was wrongly realised by a dealer as sales tax or purchase tax ,ANALYSIS
236351222ea34589b74c1b76ad7b9499,10762,10948,Such a law plainly would not be a law relating to tax on the sale or purchase of goods but would be one in respect of an amount wrongly realised by a dealer as sales tax or purchase tax ,ANALYSIS
09371a7be7fe4fa089f91cd52f424dde,10949,11253,It looks perhaps odd that a dealer should recover in the course of business transactions certain sums of money as sales tax or purchase tax payable to the State and that he should subsequently decline to pay it to the State on the ground that the same amount is not exigible as sales tax or purchase tax ,ANALYSIS
e77ce15e4d594bdfaede606aa2feadce,11254,11577,Whatever might be the propriety of such a course the question with which we are concerned is whether the State Legislature is competent to enact a law under entry 54 for recovery by the State of an amount which though not exigibie under the State law as sales tax or purchase tax was wrongly realised as such by a dealer ,ANALYSIS
105a2542c3944bf9a90f5c1c4d3b1ae6,11578,11634,The answer to such a question has to be in the negative ,ANALYSIS
e224bd99e0ae46c58dee14bf6d2c0a3b,11635,11720,The matter indeed is not res integra and is concluded by two decisions of this Court ,ANALYSIS
bb3e66dded8b479bb0e6d8523f16ea05,11720,12459, A Constitution Bench of this Court examined in the case of R Abdul Quader Co v Sales Tax officer Hyderabad 1 the validity of section l l 2 of the Hyderabad Sales Tax Act 1950 which reads as under 2 Notwithstanding anything to the contrary contained in any order of an officer or tribunal or judgment decree or order of a Court every person who has collected or collects on or before 1st May 1950 any amount by way of tax otherwise than in accordance with the provisions of this Act shall pay over to the Government within such time and in such manner as may be prescribed the amount so collected lay him and in default of such payment the said amount shall be recovered from him as if it were arrears of land revenue ,PRE_RELIED
ac9d19b92cd243939ed0b8e1184ba731,12459,12583, The appellant in that case collected sales tax from the purchasers of betel leaves in connection with the sales made by it ,PRE_RELIED
dc34b14c1a474a7cac8c2ae01ae3c0dc,12584,12658,The appellant however did not pay the amount collected to the government ,PRE_RELIED
ca53541835d04c96818128f52181be38,12659,12733,The Government directed the appellant to pay the amount to the Government ,PRE_RELIED
a9f9f0bd51534132bd5cf543041f97e0,12734,12840,The appellant thereupon filed a writ petition in the High Court questioning the validity of section 11 2 ,PRE_RELIED
6c9d24a406a94bc1ae7c0f9449de19d3,12841,13361,The main contention of the appellant before the High Court was that section 11 2 which authorised the Government to recover a tax collected without the authority of law was beyond the competence of the State Legislature because a tax collected without the authority of law would not be a tax levied under the law and it would therefore not be open to the State to collect 1 1964 6 S C R 867 under the authority of a law enacted under entry 54 of List II of the Seventh Schedule to the Constitution any such amount ,PRE_RELIED
d513662dcfaf487294d3275a7346248e,13362,13414,The High Court upheld the validity of section 11 2 ,PRE_RELIED
ceb9dfb088014b35bf2263b12cc6849f,13414,13794, On appeal to this Court it was observed by the Constitution Bench as under The first question therefore that falls for consideration is whether it was open to the State legislature under its powers under entry 54 of List II to make a provision to the effect that money collected by way of tax even though it is not due as a tax under the Act shall be made over to Government ,PRE_RELIED
0641c8c9891a4a09b7a6acecc02ad79e,13795,13895,Now it is clear that the sums so collected by way of tax arc not in fact tax exigible under the Act ,PRE_RELIED
fdce71b7681c4cbabb206dc926e25472,13896,14103,So it cannot be said that the State legislature was directly legislating for the imposition of sales or purchase tax under entry 54 of List II when it made such a provision for on the face of the provision ,PRE_RELIED
ff2b06edb5d444e2927e891441b4371f,14104,14187,the amount though collected by way of tax was not exigible as tax under the law ,PRE_RELIED
569f5b5b4854428e921ae810d6ed7c7c,14187,14479, An attempt was made on behalf of the State in that case to sustain the validity of section 11 2 of the Hyderabad Act on the ground that the Legislature had enacted that law as part of the incidental and ancillary power to make provision for the levy and collection of sales or purchase tax ,ANALYSIS
a5e49d15a68d481db5d0840ac6c46aab,14480,14735,This contention was repelled and it was observed that the ambit of ancillary or incidental power did not go to the extent of permitting the legislature to provide that though the amount collected may be wrongly by way of tax is not exigible under the law ,ANALYSIS
59d8839437184a6facdddc86cf287ee7,14736,14840,as made under the relevant taxing entry it shall still be paid over to Government as if it were a tax ,ANALYSIS
ee63b2362bcc42c3870a372efdc0ee05,14840,14994, The question again arose in this Court before a Bench consisting of six Judges in the case of Ashoka Marketing Ltd v State of Bihar Anr 1 ,ANALYSIS
3a36fa732b884764a01087618eed7aa6,14995,15213,In that case in determining the appellant s turnover for assessment to sales tax for the year 1956 57 the Superintendent of Sales Tax included an amount representing Railway freight in the appellant s sales of cement ,ANALYSIS
cf58dff2147145308afed79a7c36c316,15214,15322,The appellate authority set aside the orders directing the inclusion of the Railway freight in the turnover ,ANALYSIS
84ef201693174d908a1cf8680ee7bec9,15323,15635,After the introduction of section 20 A of the Bihar Sales Tax Act the Assistant Commissioner issued a notice under section 20 A 3 of the Act requiring the appellant to show cause why an amount representing sales tax on the Railway freight which became refundable under the orders of assessment be not forfeited ,ANALYSIS
90cb1d1725b44c1fb893c0928bafe104,15636,15848,The appellant s contention that section 20 A was ultra vires the State Legislature was rejected by the Assistant Commissioner as well as by the High Court in a writ petition under article 226 of the Constitution ,ANALYSIS
14dc8799494a4a9b828223f2cca2a010,15849,15880,On appeal filed by the assessee,ANALYSIS
2cc90a922e484109821ae8d47e547447,15881,15987,this Court held that sub sections 3 4 and 5 of section 20 A were ultra vires the State legislature ,ANALYSIS
4a01ba630749425ea4df3f3a7b4fb971,15988,16082,As a corollary thereto sub sections 6 and 7 of that section were also held to be invalid ,ANALYSIS
21c22cd6aa1842169c195b028fd0bead,16083,17551,Subsection 3 of section 20 A of the Bihar Sales Tax Act read as under 3 a Notwithstanding anything to the contrary contained in any law or contract or any judgment decree or order of 1 1970 1 S C R 455 any Tribunal Court or authority if the prescribed authority has reason to believe that any dealer has or had at any time whether before or after the commencement of this Act collected any such amount in a case in which or to an extent to which the said dealer was or is not liable to pay such amount it shall serve on such dealer a notice in the prescribed manner requiring him on a date and at a time and place to be specified therein neither to attend in person or through authorised representative to show cause why he should not deposit into the Government treasury the amount so collected by him b On the day specified in the notice under clause a or as soon thereafter as may be the prescribed authority may after giving the dealer or his authorised representative a reason able opportunity of being heard and examining such accounts and other evidence as may be produced by or on behalf of the dealer and making such further enquiry as it may deem necessary order that the dealer shall deposit forthwith into the Government treasury the amount found to have been so collected by the dealer and not refunded prior to the receipt of the notice aforesaid to the person from whom it had been collected ,ANALYSIS
0d75b2e50be04ababe76b750996f7de8,17553,17817,In holding sub section 3 and other impugned provisions of section 20 A to be beyond the legislative competence of the State Legislature this Court in the case of Ashoka Marketing Ltd supra relied upon the decision of this Court in Abdul Qadar s case supra ,ANALYSIS
a6c8c4810d18486d9f895ea8addc9c61,17817,18068, Dr Muhammad has however tried to distinguish the above two cases on the ground that the present case relates to an amount realised in excess of the tax leviable under the Act and not to an amount which was not payable at all as tax under the Act ,ANALYSIS
f2b9c1d303414725a21ddc184a5b9628,18069,18221,This fact in our opinion would not prevent the applicability of the principle laid down in the cases of Abdul Qadar and Ashoka Marketing Ltd supra ,ANALYSIS
c8f96b1adac047679c717ba831838727,18222,18442,Any amount realised by a dealer in excess of the tax leviable under the Act stands for the purpose of determining the legislative competence under entry 54 on the same footing as an amount not due as tax under the Act ,ANALYSIS
e430660961cd4f048d27291bf81241f1,18443,18545,Dr Muhammad s argument involves inventing a category of a deemed tax which is not there in the Act ,ANALYSIS
1300cd557fbe46b0bc321051c57ea622,18546,18602,The provisions of the Act contain a definition of tax ,ANALYSIS
809cd825f4164593b40d21159f49643a,18603,18725,This necessarily means that every thing outside it collected by the dealer would be an exaction not authorised by the Act ,ANALYSIS
635f10575a99449aaa4c1fdc28950b34,18726,18810, Tax according to section 2 xxiv of the Act means the tax payable under the Act ,ANALYSIS
19ce36cb36d94c39be13be12c73b5a7b,18811,18980,The amount which was realised by the respondent in excess of what was due as tax cannotbe held to be tax because such excess amount was not tax payable under the Act ,RATIO
8d536c8d2e964b2eb159f2314b746a5f,18981,19364,If the State Legislature cannot make a law under entry 54 of List II of the Seventh Schedule to the Constitution directing the payment to the State of any amount collected as tax on transactions not liable to tax under the Act it would likewise be incompetent to make a law directing payment to the State of an amount realised be a dealer in excess of the tax payable under the Act ,RATIO
02ba0dbbafcf4669be195155935ac6d6,19365,19591,The amount realised in excess of the tax leviable under the Act would not stand for this purpose on a footing different from that of the amount realised as tax even though the same could not be recovered as tax under the Act ,RATIO
8a9d5dc3f9044abe982c27cadcc4bd57,19591,19649, We would therefore dismiss the two appeals with costs ,RPC
bd46534324df4a63acb0956084c41a4c,19650,19666,One hearing fee ,RPC
4120114c11ae44488d1994bd9fd2d8bf,19666,19674, V P S ,RPC
54680b46cbe648caa07effa2f1d0e5b8,19675,19711, Appeals dismissed ,RPC
54f49331b2b34306aab8068e2059dd57,0,124,PETITIONER HARISHIKESM GANGULI DEAD Vs RESPONDENT COMMISSIONER OF INCOME TAX CALCUTTA DATE OF JUDGMENT18 08 1971,PREAMBLE
